L,v0,C,t,angle,velocity,accel
0.25,1.25,0.05,0.8200000000000001,-0.5349019328501589,6.363679257393478,15.76039900573124
0.25,1.25,0.05,0.84,-0.40478434805571684,6.632312071095387,11.031976804728412
0.25,1.25,0.05,0.86,-0.27026610858810396,6.802536141583685,5.941580903612159
0.25,1.25,0.05,0.88,-0.1333783469929602,6.868556420667381,0.6392245911217271
0.25,1.25,0.05,0.9,0.0037638801998111865,6.827860549683896,-4.699601343436797
0.25,1.25,0.05,0.92,0.13903116344871044,6.681549111004097,-9.892390142308557
0.25,1.25,0.05,0.9400000000000001,0.2703520721773892,6.4342772807483035,-14.76937390973292
0.25,1.25,0.05,0.96,0.39578049297156076,6.093821401494223,-19.190684522851075
0.25,1.25,0.05,0.98,0.5135511904671483,5.670354831484647,-23.05780650306209
0.25,1.25,0.05,1.0,0.62211907420802,5.175566200664261,-26.317821930463207
0.25,1.25,0.05,1.02,0.7201804573979148,4.621763679027168,-28.960753540710385
0.25,1.25,0.05,1.04,0.8066773114489126,4.021088002366483,-31.011698944325442
0.25,1.25,0.05,1.06,0.8807875916034581,3.384915575707054,-32.52008582597913
0.25,1.25,0.05,1.08,0.9419058467285347,2.723486289962889,-33.54828735788662
0.25,1.25,0.05,1.1,0.98961861683591,2.045750786500675,-34.16127946771971
0.25,1.25,0.05,1.12,1.0236787203012327,1.3594055077271447,-34.418312137469016
0.25,1.25,0.05,1.1400000000000001,1.0439817528088715,0.6710708196194675,-34.36694782108234
0.25,1.25,0.05,1.16,1.0505471817281753,-0.013435033321611334,-34.03940913979762
0.25,1.25,0.05,1.18,1.0435055166080687,-0.6887700650872071,-33.45098763526047
0.25,1.25,0.05,1.2,1.0230921762686667,-1.3497290699834856,-32.60024309947819
0.25,1.25,0.05,1.22,0.9896480083234848,-1.990924396365067,-31.47079584873486
0.25,1.25,0.05,1.24,0.9436257351826834,-2.606517521318869,-30.03460445255841
0.25,1.25,0.05,1.26,0.8856010102340379,-3.1900305010653023,-28.256666881257658
0.25,1.25,0.05,1.28,0.8162862184075843,-3.734264882362486,-26.101035544982278
0.25,1.25,0.05,1.3,0.7365446202580336,-4.231351963827162,-23.537870298493914
0.25,1.25,0.05,1.32,0.6474020340077092,-4.67295014788913,-20.550978298303185
0.25,1.25,0.05,1.34,0.5500530730592966,-5.050590930687151,-17.144961670250233
0.25,1.25,0.05,1.36,0.44585911547705026,-5.356154455992754,-13.350819880558603
0.25,1.25,0.05,1.3800000000000001,0.33633580958858245,-5.582431246144934,-9.228773184368126
0.25,1.25,0.05,1.4000000000000001,0.2231290147174504,-5.72370399276195,-4.867308796899988
0.25,1.25,0.05,1.42,0.10797958015999554,-5.776268374088642,-0.3780440972519745
0.25,1.25,0.05,1.44,-0.00732100363336168,-5.738812296782183,4.113148480906675
0.25,1.25,0.05,1.46,-0.12098057554429055,-5.612590584582722,8.477432882489865
0.25,1.25,0.05,1.48,-0.2312574399561501,-5.401365617970261,12.59478394308163
0.25,1.25,0.05,1.5,-0.33650803510564387,-5.111124845730627,16.36418986014876
0.25,1.25,0.05,1.52,-0.4352271024265291,-4.74962431105562,19.71064150217004
0.25,1.25,0.05,1.54,-0.5260775950997476,-4.325832320564791,22.588065168161325
0.25,1.25,0.05,1.56,-0.607909141444385,-3.849355171017488,24.97825856864101
0.25,1.25,0.05,1.58,-0.6797654729768541,-3.3299179621038895,26.88662701443202
0.25,1.25,0.05,1.6,-0.7408824721754559,-2.7769528079831316,28.335921061343672
0.25,1.25,0.05,1.62,-0.7906793068845603,-2.1993217050232614,29.35923214908862
0.25,1.25,0.05,1.6400000000000001,-0.828745418399791,-1.605177989630604,29.99329889594118
0.25,1.25,0.05,1.6600000000000001,-0.8548260185641663,-1.0019517968448641,30.272850141111608
0.25,1.25,0.05,1.68,-0.8688083316101816,-0.39643541965992474,30.226383702403865
0.25,1.25,0.05,1.7,-0.8707102861096689,0.20506317094842053,29.87352350606073
0.25,1.25,0.05,1.72,-0.8606727065565689,0.7965295068624597,29.22393816209081
0.25,1.25,0.05,1.74,-0.8389554262525045,1.3720449541161708,28.27772477213312
0.25,1.25,0.05,1.76,-0.8059371932985366,1.9256104209403866,27.02713121294253
0.25,1.25,0.05,1.78,-0.7621186756129877,2.451016640077694,25.459466263355793
0.25,1.25,0.05,1.8,-0.7081274039341451,2.941782928339689,23.56099880407026
0.25,1.25,0.05,1.82,-0.6447231132059772,3.391181523290177,21.321555891718365
0.25,1.25,0.05,1.84,-0.5728016462891871,3.792357443738143,18.739395802269247
0.25,1.25,0.05,1.86,-0.49339549797815324,4.13854392872255,15.825785329698073
0.25,1.25,0.05,1.8800000000000001,-0.4076691863212929,4.423360829457535,12.608599493243211
0.25,1.25,0.05,1.9000000000000001,-0.3169080377499466,4.641169376494094,9.134250697571545
0.25,1.25,0.05,1.92,-0.22249963126578937,4.787444017421262,5.467395631957091
0.25,1.25,0.05,1.94,-0.12590802843448273,4.859113780233898,1.6881783600639895
0.25,1.25,0.05,1.96,-0.02864188603703202,4.854825251501361,-2.1127962209694684
0.25,1.25,0.05,1.98,0.06778156598938023,4.775087174305031,-5.841103934851198
0.25,1.25,0.05,2.0,0.16187404939618502,4.622274481388545,-9.4057501500193
0.25,1.25,0.15000000000000002,0.0,1.5707963267948966,1.25,-41.74
0.25,1.25,0.15000000000000002,0.02,1.5875587954977581,0.43172164265115986,-40.09793057977967
0.25,1.25,0.15000000000000002,0.04,1.5882797227844223,-0.354386703881442,-38.52522951656442
0.25,1.25,0.15000000000000002,0.06,1.5735882534612955,-1.1097456385164672,-37.02035578802091
0.25,1.25,0.15000000000000002,0.08,1.5440872871712665,-1.8354697994417462,-35.555064858860206
0.25,1.25,0.15000000000000002,0.1,1.5003646200402976,-2.531880057678268,-34.0789526430429
0.25,1.25,0.15000000000000002,0.12,1.4430129842278807,-3.198104250708093,-32.52386039800266
0.25,1.25,0.15000000000000002,0.14,1.3726571275839532,-3.8317690639534114,-30.80871419863712
0.25,1.25,0.15000000000000002,0.16,1.2899860564792966,-4.42879848224175,-28.845419326342192
0.25,1.25,0.15000000000000002,0.18,1.1957880284836944,-4.983344990586549,-26.5463098336487
0.25,1.25,0.15000000000000002,0.2,1.0909853068584094,-5.487887244706199,-23.833330018263496
0.25,1.25,0.15000000000000002,0.22,0.976665030463741,-5.933526143839282,-20.648589126978315
