L,v0,C,t,angle,velocity,accel
0.3,0.0,0.0,1.16,1.2652349134038199,4.435560172133255,-31.185277586278218
0.3,0.0,0.0,1.18,1.3476567088343225,3.804277863496604,-31.889284694341917
0.3,0.0,0.0,1.2,1.4173320294602887,3.1618375983595532,-32.315691535101024
0.3,0.0,0.0,1.22,1.474087548836048,2.512946699136855,-32.54720433249368
0.3,0.0,0.0,1.24,1.5178283130374146,1.8607766392983058,-32.654138992476824
0.3,0.0,0.0,1.26,1.5485097031328257,1.2072388912201661,-32.69187939586329
0.3,0.0,0.0,1.28,1.5661153142782838,0.5532976656937467,-32.69964174144592
0.3,0.0,0.0,1.3,1.5706412880562055,-0.10070111308748042,-32.699999606994886
0.3,0.0,0.0,1.32,1.562087288080152,-0.7546953911405874,-32.69875990357848
0.3,0.0,0.0,1.34,1.5404541749137393,-1.4085714254623376,-32.68494858974937
0.3,0.0,0.0,1.36,1.5057483976907948,-2.061828402728613,-32.63084372898157
0.3,0.0,0.0,1.3800000000000001,1.4579930749711258,-2.713244972132398,-32.49217373660887
0.3,0.0,0.0,1.4000000000000001,1.3972456821252017,-3.360553746887811,-32.2087756655881
0.3,0.0,0.0,1.42,1.3236220657273106,-4.000137217241984,-31.706170203930824
0.3,0.0,0.0,1.44,1.237326133802394,-4.626769118616873,-30.89862755713017
0.3,0.0,0.0,1.46,1.1386839775374251,-5.233436981695274,-29.694318864034443
0.3,0.0,0.0,1.48,1.0281803468892285,-5.811292564181176,-28.002997462700108
0.3,0.0,0.0,1.5,0.9064944048575099,-6.349782063632539,-25.746258305758737
0.3,0.0,0.0,1.52,0.7745306821970216,-6.837002770656964,-22.86974914471198
0.3,0.0,0.0,1.54,0.633440391239881,-7.2603117118003615,-19.355823128107847
0.3,0.0,0.0,1.56,0.48462812102104463,-7.6071724503856,-15.23425426112406
0.3,0.0,0.0,1.58,0.32973972757107095,-7.866173002298294,-10.5881549899475
0.3,0.0,0.0,1.6,0.17062913174415642,-8.028092175494699,-5.552537767393582
0.3,0.0,0.0,1.62,0.009304649157040892,-8.08685129658157,-0.3042576371308785
0.3,0.0,0.0,1.6400000000000001,-0.15214114474973522,-8.040183553142867,4.955844913093794
0.3,0.0,0.0,1.6600000000000001,-0.3116109912192651,-7.889891830101092,10.025572818757041
0.3,0.0,0.0,1.68,-0.46708304591180594,-7.641643446684135,14.72427694377443
0.3,0.0,0.0,1.7,-0.616682531096432,-7.304342621448969,18.911454820631302
0.3,0.0,0.0,1.72,-0.7587375532938914,-6.889202990266247,22.497790625556345
0.3,0.0,0.0,1.74,-0.891814759523876,-6.408685669396614,25.447555250250957
0.3,0.0,0.0,1.76,-1.0147338027256463,-5.875468581514069,27.773420311397356
0.3,0.0,0.0,1.78,-1.1265626239467788,-5.3015753867376745,29.526146469298034
0.3,0.0,0.0,1.8,-1.2265975688153108,-4.697737905875409,30.7820183818909
0.3,0.0,0.0,1.82,-1.3143332896331368,-4.073011148954968,31.63048815609853
0.3,0.0,0.0,1.84,-1.3894273154190768,-3.4346191971351496,32.1636440505266
0.3,0.0,0.0,1.86,-1.4516634837679963,-2.787986770220461,32.468224749148405
0.3,0.0,0.0,1.8800000000000001,-1.500917426251803,-2.136904467736807,32.62019443942979
0.3,0.0,0.0,1.9000000000000001,-1.5371262881265513,-1.4837801472707741,32.6814662219447
0.3,0.0,0.0,1.92,-1.5602640217085375,-0.8299391845949367,32.6981863202514
0.3,0.0,0.0,1.94,-1.5703229504512108,-0.1759483976121674,32.69999633620766
0.3,0.0,0.0,1.96,-1.56730191986916,0.47805100660873207,32.69980035231904
0.3,0.0,0.0,1.98,-1.5512011374509647,1.1320081208015573,32.69372226774366
0.3,0.0,0.0,2.0,-1.5220237225393438,1.7856267502172218,32.66111486990072
0.3,0.0,0.2,0.0,1.5707963267948966,0.0,-32.7
0.3,0.0,0.2,0.02,1.5643521642179938,-0.6396769017989535,-31.277816805897704
0.3,0.0,0.2,0.04,1.5453950874416496,-1.2514675475245014,-29.90841217730779
0.3,0.0,0.2,0.06,1.5144736705270438,-1.8362070189310136,-28.56768751716978
0.3,0.0,0.2,0.08,1.472125376046425,-2.3941348143177197,-27.22064663140036
0.3,0.0,0.2,0.1,1.4188904626920893,-2.9247040991699382,-25.82409984318007
0.3,0.0,0.2,0.12,1.3553291714094593,-3.4264459118434174,-24.329541264881573
0.3,0.0,0.2,0.14,1.2820410175542665,-3.8968949767060215,-22.686422491151454
0.3,0.0,0.2,0.16,1.1996848827992304,-4.33258593524081,-20.845973998237877
0.3,0.0,0.2,0.18,1.1089983741758336,-4.729131926517691,-18.765586201131747
0.3,0.0,0.2,0.2,1.0108147061936503,-5.081395047768427,-16.41357237669056
0.3,0.0,0.2,0.22,0.9060752312175824,-5.383752682883464,-13.773910708993784
0.3,0.0,0.2,0.24,0.795835696799278,-5.630453596167903,-10.850349506804132
0.3,0.0,0.2,0.26,0.6812646562918742,-5.816043508687253,-7.669130248777467
0.3,0.0,0.2,0.28,0.5636329468298377,-5.935825152936574,-4.279602934355109
0.3,0.0,0.2,0.3,0.44429402085994174,-5.98630487198983,-0.752232229604747
0.3,0.0,0.2,0.32,0.32465591857877696,-5.965572512232504,2.826093581902583
0.3,0.0,0.2,0.34,0.2061467427696817,-5.873563534819163,6.359008359541025
0.3,0.0,0.2,0.36,0.0901763961399444,-5.7121670672313885,9.748931272309358
0.3,0.0,0.2,0.38,-0.021902186574238654,-5.485165929286877,12.905401861988963
0.3,0.0,0.2,0.4,-0.12882896468165086,-5.198019866752825,15.752219089517268
0.3,0.0,0.2,0.42,-0.22946711822364596,-4.85752648333161,18.232400893387858
0.3,0.0,0.2,0.44,-0.3228257559883872,-4.471409612319236,20.310462613684074
0.3,0.0,0.2,0.46,-0.4080741267153713,-4.047888843150944,21.97205277601873
0.3,0.0,0.2,0.48,-0.48454744357448976,-3.595279022975395,23.22142878683917
0.3,0.0,0.2,0.5,-0.5517453174143003,-3.121655937195425,24.07751469979701
0.3,0.0,0.2,0.52,-0.6093243369332003,-2.634608102627473,24.56933689050742
0.3,0.0,0.2,0.54,-0.6570866101468796,-2.14108029634833,24.73153143415729
0.3,0.0,0.2,0.56,-0.6949660444788878,-1.6473018047421333,24.600421732798843
0.3,0.0,0.2,0.58,-0.7230139139613366,-1.158784938709775,24.210952575881848
0.3,0.0,0.2,0.6,-0.74138495586695,-0.6803752480602844,23.594582354981224
0.3,0.0,0.2,0.62,-0.7503248258157443,-0.2163345403428916,22.778101555585298
0.3,0.0,0.2,0.64,-0.7501593917883869,0.22956086430772055,21.783265559541395
0.3,0.0,0.2,0.66,-0.7412860226219498,0.6539213992110239,20.62709257747494
0.3,0.0,0.2,0.68,-0.7241667532896165,1.0536568511381226,19.322667291399796
0.3,0.0,0.2,0.7000000000000001,-0.6993230128608262,1.425908769704027,17.880295713486685
0.3,0.0,0.2,0.72,-0.6673314568257924,1.7680082735180869,16.30886493524161
0.3,0.0,0.2,0.74,-0.6288203625679138,2.0774619468913174,14.617269114178987
0.3,0.0,0.2,0.76,-0.5844660284785843,2.3519657672662793,12.815769297413091
0.3,0.0,0.2,0.78,-0.5349886294248775,2.589444558066274,10.917160884898593
0.3,0.0,0.2,0.8,-0.48114707012594093,2.7881118792526074,8.937635386467745
0.3,0.0,0.2,0.8200000000000001,-0.4237324927863474,2.946543320880353,6.897244431061796
0.3,0.0,0.2,0.84,-0.3635602551628417,3.063754576932731,4.819908117302989
0.3,0.0,0.2,0.86,-0.3014603789981145,3.13927496955955,2.7329553522491983
0.3,0.0,0.2,0.88,-0.23826664806283818,3.1732074019719025,0.6662362031966689
0.3,0.0,0.2,0.9,-0.174804709199806,3.166267011192024,-1.3491013956809228
0.3,0.0,0.2,0.92,-0.11187966083013809,3.119793086345619,-3.282036044072786
0.3,0.0,0.2,0.9400000000000001,-0.05026369352084548,3.035731802957919,-5.10313989310472
0.3,0.0,0.2,0.96,0.009315635805897338,2.91659052841708,-6.785929170349633
0.3,0.0,0.2,0.98,0.06618596062306556,2.765367447584791,-8.30796211828753
0.3,0.0,0.2,1.0,0.1197390564118514,2.5854625832657816,-9.651589959963307
0.3,0.0,0.2,1.02,0.16943788818634323,2.380577665919019,-10.804318443266816
0.3,0.0,0.2,1.04,0.21482160895525967,2.1546126246804906,-11.758789767747587
0.3,0.0,0.2,1.06,0.2555085142873341,1.9115658204056296,-12.51243854951554
0.3,0.0,0.2,1.08,0.29119708936963595,1.6554437250790257,-13.066905171950191
0.3,0.0,0.2,1.1,0.3216653754456525,1.3901839865598007,-13.427303242516933
0.3,0.0,0.2,1.12,0.3467689520257,1.1195937760978072,-13.601436440444072
0.3,0.0,0.2,1.1400000000000001,0.36643784003512314,0.8473036179996506,-13.599046819358112
0.3,0.0,0.2,1.16,0.3806726271046464,0.5767353970271538,-13.43115671177697
0.3,0.0,0.2,1.18,0.38954007607781654,0.31108224671676316,-13.109543560582146
0.3,0.0,0.2,1.2,0.39316842630638166,0.053297452662642936,-12.646364947789522
0.3,0.0,0.2,1.22,0.39174253921405094,-0.19391064378765338,-12.053932004350534
0.3,0.0,0.2,1.24,0.38549897571850567,-0.42808057464892535,-11.344614188497383
0.3,0.0,0.2,1.26,0.3747210486394148,-0.6469988476205555,-10.530848198090242
0.3,0.0,0.2,1.28,0.3597338451504686,-0.8487019983208773,-9.6252172227319
0.3,0.0,0.2,1.3,0.34089918974593764,-1.0314806280318733,-8.640564618509057
0.3,0.0,0.2,1.32,0.31861050302321886,-1.193885768053688,-7.590107147930287
0.3,0.0,0.2,1.34,0.29328751211595105,-1.33473724630919,-6.487517070300775
0.3,0.0,0.2,1.36,0.2653707810309324,-1.4531331610842786,-5.346948979451015
0.3,0.0,0.2,1.3800000000000001,0.23531605044992338,-1.5484592273754052,-4.182995530099477
0.3,0.0,0.2,1.4000000000000001,0.20358840446993076,-1.6203964430777023,-3.010565881077917
0.3,0.0,0.2,1.42,0.17065631352109234,-1.6689255821887576,-1.8446901857979099
0.3,0.0,0.2,1.44,0.13698563194982008,-1.6943271231679884,-0.7002624533516042
0.3,0.0,0.2,1.46,0.10303364633647388,-1.6971756227756156,0.40825918561218266
0.3,0.0,0.2,1.48,0.06924330787008043,-1.6783277582215792,1.4671700199941662
0.3,0.0,0.2,1.5,0.03603775999966319,-1.638904158514345,2.4638295487497066
0.3,0.0,0.2,1.52,0.0038152896670262345,-1.5802652668206312,3.386940923499501
0.3,0.0,0.2,1.54,-0.02705518325303843,-1.5039820771549972,4.2267789585695725
0.3,0.0,0.2,1.56,-0.05623798991616576,-1.4118029513461328,4.975352953685868
0.3,0.0,0.2,1.58,-0.08343390616716329,-1.3056179032065658,5.626497583281708
0.3,0.0,0.2,1.6,-0.10838261883573697,-1.187421781061171,6.1758921220877445
0.3,0.0,0.2,1.62,-0.1308644529148881,-1.0592777360309682,6.621014486031889
0.3,0.0,0.2,1.6400000000000001,-0.15070138672740568,-0.9232821672093495,6.961041684183276
0.3,0.0,0.2,1.6600000000000001,-0.16775738445587554,-0.7815320785535925,7.1967105072599065
0.3,0.0,0.2,1.68,-0.18193810687733836,-0.6360954934835665,7.3301537292278915
0.3,0.0,0.2,1.7,-0.19319006471505662,-0.4889852713035677,7.364726090649468
0.3,0.0,0.2,1.72,-0.20149928187337002,-0.3421363978475801,7.304832154768575
0.3,0.0,0.2,1.74,-0.20688953955149997,-0.197386619045619,7.15576530542609
0.3,0.0,0.2,1.76,-0.209420263074996,-0.05646014273122955,6.9235636435679915
0.3,0.0,0.2,1.78,-0.2091841111018694,0.07904597565853447,6.61488529405795
0.3,0.0,0.2,1.8,-0.20630431622386333,0.20767314827269562,6.236902637346204
0.3,0.0,0.2,1.82,-0.20093181781207886,0.32811062236992916,5.797212638162318
0.3,0.0,0.2,1.84,-0.19324222699057836,0.439203170184388,5.303759075779726
0.3,0.0,0.2,1.86,-0.18343265100420766,0.53995731271079,4.764761383847855
0.3,0.0,0.2,1.8800000000000001,-0.171718407987455,0.6295461384535872,4.188645121528921
0.3,0.0,0.2,1.9000000000000001,-0.15832965901695328,0.7073127089955795,3.5839695912852694
0.3,0.0,0.2,1.92,-0.14350798695916228,0.7727719599348586,2.959349356411294
0.3,0.0,0.2,1.94,-0.1275029538144429,0.8256109597270052,2.323367900376594
0.3,0.0,0.2,1.96,-0.110568670179204,0.8656873581468839,1.684483296561185
0.3,0.0,0.2,1.98,-0.09296041545861071,0.893025873395714,1.0509273856109789
0.3,0.0,0.2,2.0,-0.07493135041452224,0.9078127073863187,0.4306013192897118
0.3,5.0,0.0,0.0,1.5707963267948966,5.0,-32.7
0.3,5.0,0.0,0.02,1.6642613564704785,4.346985408087347,-32.55727505825098
0.3,5.0,0.0,0.04,1.7447103651873643,3.6990905674680246,-32.2067215781386
0.3,5.0,0.0,0.06,1.8122801735143266,3.0594121894246156,-31.751183057888344
0.3,5.0,0.0,0.08,1.8671501718626586,2.4291797827874864,-31.274530118038072
0.3,5.0,0.0,0.1,1.9095088583180115,1.808132371011297,-30.842091888652757
0.3,5.0,0.0,0.12,1.9395276010753069,1.1948764319767728,-30.502082119415945
